Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Notes
DSR 098,Kvist,For Kunsten Maa Vi Evig Vike,Darkness Shall Rise Productions,"Cass, Album, Ltd, RE",,2020,15821989,Uncategorized,2022-10-24 13:53:23,
DSR80,Beherit,Drawing Down The Moon,Darkness Shall Rise Productions,"Cass, Album, Ltd, RE",,2020,15418451,Uncategorized,2022-09-06 17:18:57,
none,Cromlech (15),Questionable Strategies,Deathbed Tapes,"Cass, Album",,2022,23699984,Uncategorized,2022-08-10 14:31:19,
9 26748-4,Slayer,Decade Of Aggression Live,Def American Recordings,"2xCass, Album",,1991,14089476,Uncategorized,2022-09-13 14:28:16,
WIGMC341,Julia Holter,Have You In My Wilderness,Domino,"Cass, Album",,2016,8195161,Uncategorized,2016-03-02 13:13:27,
DR69,Striborg,Spiritual Catharsis,Dread Records (3),"Cass, Album, Ltd",,2019,14272825,Uncategorized,2022-09-13 14:28:36,
DR93,Xasthur,The Funeral of Being,Dread Records (3),"Cass, Album, Ltd, RE",,2021,17982463,Uncategorized,2022-09-06 17:17:56,
ICPROCT-0907,Various,Earache Compilation,Earache,"Cass, Comp, Promo",,1990,4448104,Uncategorized,2022-07-16 14:44:21,
MOSH 137 CS,Pitchshifter,Infotainment?,Earache,"Cass, Album, Cle",,1996,909768,Uncategorized,2022-04-21 14:07:55,
MOSH 15 MC,Godflesh,Streetcleaner,Earache,"Cass, Album, RE",,1994,1498233,Uncategorized,2015-08-13 19:24:10,
MOSH 157,Godflesh,Songs Of Love And Hate,Earache,"Cass, Album",,1996,4595163,Uncategorized,2022-09-08 14:57:50,
MOSH 160,Carcass,Swansong,Earache,"Cass, Album",,1995,5291456,Uncategorized,2022-09-08 14:57:57,
MOSH 66,Pitchshifter,Submit,Earache,"Cass, EP, RE, Cle",,1995,909767,Uncategorized,2022-04-21 14:07:55,
MOSH 75 MC,Pitchshifter,Desensitized,Earache,"Cass, Album, Cle",,1993,909766,Uncategorized,2022-04-21 14:07:55,
ECS101,Diver Dress,Live Forever,Ecstattic Studio,"Cass, Album",,2016,8586185,Uncategorized,2016-05-29 22:38:07,
none,DIIE,UFOs Satanic Terror,Ecstattic Studio,"Cass, EP",,2016,8524758,Uncategorized,2016-05-15 21:28:22,
9 61094-4,Throbbing Gristle,D.o.A. The Third And Final Report,Elektra,"Cass, Album",,1991,1754009,Uncategorized,2022-04-21 14:06:07,
"9 60812-4, 60812-4",Metallica,...And Justice For All,"Elektra, Elektra","Cass, Album, SR",,1994,13077745,Uncategorized,2022-09-19 12:22:58,
E4-92806,Queensrÿche,Empire,EMI USA,"Cass, Album",,1990,13088277,Uncategorized,2022-09-13 14:29:47,
ET 46998,Front 242,Tyranny >For You<,Epic,"Cass, Album",,1991,3115393,Uncategorized,2022-03-29 18:23:52,
"ET 53433, ET53433, 53433",Front 242,06:21:03:11 Up Evil,"Epic, Epic, Epic","Cass, Album",,1993,1224583,Uncategorized,2022-02-01 04:58:03,
504061.4,Incubus (2),Morning View,"Epic, Immortal Records (3)","Cass, Album",,2001,3564263,Uncategorized,2022-10-03 14:46:32,
EPC 495040 4,Incubus (2),Make Yourself,"Epic, Immortal Records (3)","Cass, Album",,1999,3564237,Uncategorized,2022-10-03 14:46:38,
"FM001, CT-181",Saâda Bonaire,Saâda Bonaire,"Fantasy Memory, Captured Tracks","Cass, Comp",,2013,6005855,Uncategorized,2022-04-05 15:53:36,
none,Mutilatred, Determined To Rot,Fix My Face Records,"Cass, Album, Ltd, Red",,2022,23413652,Uncategorized,2022-08-12 19:09:11,
FR127,Scarcity (4),Aveilut,Flenser Records,"Cass, Album",,2022,24107861,Uncategorized,2022-08-05 04:49:20,
FR129,Chat Pile,God's Country,Flenser Records,"Cass, Album, Bab",,2022,24107819,Uncategorized,2022-08-05 04:41:17,
FR42,Have A Nice Life,Deathconsciousness,Flenser Records,"Cass, Album, RE",,2021,21134524,Uncategorized,2022-07-06 14:38:47,
"FR56, FR44, FR75",Planning For Burial,First Three,"Flenser Records, Flenser Records, Flenser Records","Box, Comp + 3xCass, Album",,2021,18713989,Uncategorized,2022-07-06 14:39:43,
FL232-2MC,Cannibal Corpse,Worm Infested,Floga Records,"Cass, EP, Ltd, RE",,2019,16285006,Uncategorized,2022-09-06 17:07:06,
FSR011,Heccra,White Eagle,Funeral Sounds,"Cass, Album, Ltd, Num, Gre",,2014,7757114,Uncategorized,2016-07-06 00:38:42,
GEFC-24456,Nitzer Ebb,Ebbhead,Geffen Records,"Cass, Album",,1991,3104165,Uncategorized,2022-03-29 18:23:52,
HAUSMO 118,Prolaps,Ultra Cycle Pt. 3: Autumnal Age,Hausu Mountain,"Cass, Album, C12",,2021,20321641,Uncategorized,2021-11-13 14:03:39,
HAUSMO 127,M. Geddes Gengras,"Expressed, I Noticed Silence",Hausu Mountain,"Cass, Album, C38",,2022,23894756,Uncategorized,2022-08-24 14:46:57,
HSR240,Worm (23),Gloomlord,Headsplit Records,"Cass, Album",,2020,15913988,Uncategorized,2021-11-13 14:04:22,
HH666-231-5,Prurient,Time's Arrow,Hydra Head Records,"Cass, EP",,2011,3214671,Uncategorized,2016-10-30 21:45:36,
SFLPC 1,The Fall,Live At The Witch Trials,I.R.S. Records,"Cass, Album",,1989,7323802,Uncategorized,2022-10-03 14:47:50,
7 92250-4,Cop Shoot Cop,Ask Questions Later,Interscope Records,"Cass, Album",,1993,3611549,Uncategorized,2022-04-12 15:06:51,
"92346-4, 7 92346-4",Nine Inch Nails,The Downward Spiral,"Interscope Records, Interscope Records, Nothing Records, Nothing Records, TVT Records, TVT Records","Cass, Album, SR,",,1994,533376,Uncategorized,2015-08-09 18:21:27,
CSINV 028,Pigface,Notes From Thee Underground,Invisible,"Cass, Album",,1994,1289348,Uncategorized,2022-07-16 14:44:21,
INV 009,Pigface,Gub,Invisible,"Cass, Album",,1990,570706,Uncategorized,2015-09-06 03:34:20,
ISLC-1044,Shriekback,Oil And Gold,Island Records,"Cass, Album, Dol",,1985,7036566,Uncategorized,2022-04-11 19:11:43,
CSKT-002,Doldrum (2),"The Knocking, Or The Story Of The Sound That Preceded Their Disappearance",Katafalque,"Cass, Album",,2022,24437369,Uncategorized,2022-09-06 19:02:09,
