Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Notes
"9 25799-4, 4-25799",Ministry,The Land Of Rape And Honey,"Sire, Sire","Cass, Album, SR,",,1988,2755138,Uncategorized,2021-11-13 14:25:52,
9 26727-4,Ministry,ΚΕΦΑΛΗΞΘ,"Sire, Warner Bros. Records","Cass, Album",,1992,4675070,Uncategorized,2015-08-06 22:46:45,
WOMB FIP 5C,Foetus,Thaw,"Some Bizzare, Self Immolation","Cass, Album",,1988,2415426,Uncategorized,2022-03-29 18:23:52,
SSR132C,Mayhem,Wolf's Lair Abyss,Soulseller Records,"Cass, Ltd, RE",,2019,13856715,Uncategorized,2022-09-18 09:58:03,
 SBH-009,Antichrist Siege Machine,Morbid Triumph,Stygian Black Hand,"Cass, EP",,2022,24621434,Uncategorized,2022-09-24 15:44:59,
SBH-019,Antichrist Siege Machine,Schism Perpetration,Stygian Black Hand,"Cass, Album",,2019,23805467,Uncategorized,2022-07-06 14:54:16,
SBH-048,Bog Body,Cryonic Crevasse Cult,Stygian Black Hand,"Cass, Album",,2022,23585339,Uncategorized,2022-06-20 15:45:58,
TMC 9188,Front Line Assembly,Tactical Neural Implant,Third Mind Records,"Cass, Album",,1992,340962,Uncategorized,2022-03-29 18:23:52,
THRILL 583,The Soft Pink Truth,Was It Ever Real?,Thrill Jockey,"Cass, Single",,2022,24279632,Uncategorized,2022-08-24 14:47:26,
TE159,Strange Relations (2),Going Out,Tiny Engines,"Cass, EP, Ltd",,2016,11052409,Uncategorized,2022-04-18 19:47:31,
none,Fossilization,He Whose Name Was Long Forgotten,Transylvanian Recordings,"Cass, EP, Yel",,2021,19206205,Uncategorized,2021-11-13 14:19:16,
none,Shrouded Infinity,Through Caverns Unknown,Transylvanian Recordings,"Cass, EP",,2022,22869146,Uncategorized,2022-07-13 19:15:26,
"TVT 2610-4, TVT 2610",Nine Inch Nails,Pretty Hate Machine,"TVT Records, TVT Records","Cass, Album",,1989,1339605,Uncategorized,2021-11-13 14:18:31,
TVT 7089,My Life With The Thrill Kill Kult,Confessions Of A Knife...,"TVT Records, Wax Trax! Records","Cass, Album, RE",,1990,4394531,Uncategorized,2022-04-21 14:07:55,
W.T.C.179,Abigor,Höllenzwang - Chronicles Of Perdition,W.T.C. Productions,"Cass, Album, Ltd",,2019,13747334,Uncategorized,2022-09-06 17:17:26,
"9 48267-4, HWO 5776",Linkin Park,Hybrid Theory,Warner Bros. Records,"Cass, Album, S/Edition",,2002,4437520,Uncategorized,2022-10-03 14:44:27,
W4 26316,Angelo Badalamenti,Soundtrack From Twin Peaks,Warner Bros. Records,"Cass, Album, Club",,1990,8464802,Uncategorized,2022-04-21 14:07:55,
"9 26004-4, 4-26004",Ministry,The Mind Is A Terrible Thing To Taste,"Warner Bros. Records, Sire","Cass, Album, SR,",,1989,979059,Uncategorized,2015-08-20 19:55:20,
"9362 48326-4, HWO 5800",Linkin Park,Reanimation,"Warner Bros. Records, Warner Bros. Records","Cass, Album",,2002,4239013,Uncategorized,2022-09-23 19:14:41,
WAX 7094,Clock DVA,Buried Dreams,Wax Trax! Records,"Cass, Album",,1990,1270989,Uncategorized,2022-03-28 17:00:59,
WAX CS 7177,KMFDM,Money,Wax Trax! Records,"Cass, Album, CrO",,1992,824901,Uncategorized,2022-02-01 04:58:03,
WAXCS 054,Front 242,Front By Front,Wax Trax! Records,"Cass, Album, Pla",,1988,1224562,Uncategorized,2022-04-21 14:07:55,
WAXCS 7146,Front Line Assembly,Caustic Grip,Wax Trax! Records,"Cass, Album, CrO",,1990,1262109,Uncategorized,2022-04-21 14:07:55,
WAXCS 8144,Coil,The Snow EP,Wax Trax! Records,"Cass, EP, CrO",,1991,1340222,Uncategorized,2022-04-12 15:12:14,
TVT 7202-4,KMFDM,Angst,"Wax Trax! Records, TVT Records","Cass, Album, SR,",,1993,824787,Uncategorized,2015-08-20 19:56:10,
TVT 7213-4,KMFDM,Naïve (Hell To Go),"Wax Trax! Records, TVT Records","Cass, Album, SR",,1993,824910,Uncategorized,2022-03-29 18:19:36,
TVT 7242-4,KMFDM,Xtort,"Wax Trax! Records, TVT Records","Cass, Album",,1996,824701,Uncategorized,2022-03-23 13:43:25,
TVT 7245-4,KMFDM,Symbols,"Wax Trax! Records, TVT Records","Cass, Album",,1997,824623,Uncategorized,2022-03-23 13:42:45,
TVT 7199-4,KMFDM,Nihil,"Wax Trax! Records, TVT Records, KMFDM Enterprises","Cass, Album, SR",,1995,824697,Uncategorized,2015-08-18 18:59:41,
WV 072,Nadja (5),Labyrinthine 如​迷​宮,WV Sorcerer Productions,"Cass, Album, Ltd",,2022,24706742,Uncategorized,2022-10-03 14:39:41,
